2000.12.11 18:18 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\94-12-14-ST-Internet-4.htm --> www.unabombers.com /www/NewSite/NewsArticles 94-12-14-ST-Internet-4.htm
2000.12.11 18:19 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\94-12-14-USA-Bell-Angelakos-3.htm --> www.unabombers.com /www/NewSite/NewsArticles 94-12-14-USA-Bell-Angelakos-3.htm
2000.12.11 18:19 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\94-12-15-BS-Editorial-5.htm --> www.unabombers.com /www/NewSite/NewsArticles 94-12-15-BS-Editorial-5.htm
2000.12.11 18:19 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\94-12-15-GC-Wickel-4.htm --> www.unabombers.com /www/NewSite/NewsArticles 94-12-15-GC-Wickel-4.htm
2000.12.11 18:19 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\94-12-15-NYT-Wickel-2.htm --> www.unabombers.com /www/NewSite/NewsArticles 94-12-15-NYT-Wickel-2.htm
2000.12.11 18:19 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\94-12-15-PD-Psychobably-4.htm --> www.unabombers.com /www/NewSite/NewsArticles 94-12-15-PD-Psychobably-4.htm
2000.12.11 18:19 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\94-12-15-SFC-NathanR-3.htm --> www.unabombers.com /www/NewSite/NewsArticles 94-12-15-SFC-NathanR-3.htm
2000.12.11 18:20 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\94-12-15-TP-Moody-3.htm --> www.unabombers.com /www/NewSite/NewsArticles 94-12-15-TP-Moody-3.htm
2000.12.11 18:20 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\94-12-16-BH-CopyCat-5.htm --> www.unabombers.com /www/NewSite/NewsArticles 94-12-16-BH-CopyCat-5.htm
2000.12.11 18:20 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\94-12-16-BS-VanPac-5.htm --> www.unabombers.com /www/NewSite/NewsArticles 94-12-16-BS-VanPac-5.htm
2000.12.11 18:20 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\94-12-16-OC-CluesReleased-5.htm --> www.unabombers.com /www/NewSite/NewsArticles 94-12-16-OC-CluesReleased-5.htm
2000.12.11 18:20 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\94-12-16-OC2-DualAttacks-5.htm --> www.unabombers.com /www/NewSite/NewsArticles 94-12-16-OC2-DualAttacks-5.htm
2000.12.11 18:21 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\94-12-16-SDU-Profiling-5.htm --> www.unabombers.com /www/NewSite/NewsArticles 94-12-16-SDU-Profiling-5.htm
